contract_group,underlying_asset,traded_contracts_day,traded_contracts_mtd,traded_contracts_ytd,daily_average_mtd,daily_average_ytd,open_interest,fecha,es_total
OPTIONS STOCK,SAN,150179,195548,1437309,32591,13186,1240525,2026-06-08,False
OPTIONS STOCK,SAB,153,710,15505,118,142,17155,2026-06-08,False
OPTIONS STOCK,CABK,11,14613,268198,2436,2461,299367,2026-06-08,False
OPTIONS STOCK,ROVI,3,9,7172,2,66,5692,2026-06-08,False
OPTIONS INDEX IBEX 35 TOTAL,,235,1267,146918,211,1348,70102,2026-06-08,True
FUTURES STOCK,GRF,0,4,330,1,3,215,2026-06-08,False
OPTIONS STOCK,ANA,2,10,1505,2,14,990,2026-06-08,False
FUTURES STOCK,FDR,0,0,2,0,0,0,2026-06-08,False
FUTURES STOCK,ENG,0,0,7711,0,71,7550,2026-06-08,False
FUTURES STOCK,ELE,2,2,417,0,4,56,2026-06-08,False
FUTURES STOCK,COL,0,0,220,0,2,100,2026-06-08,False
FUTURES STOCK,CLNX,0,0,241,0,2,58,2026-06-08,False
FUTURES STOCK,CIE,0,0,1,0,0,1,2026-06-08,False
FUTURES STOCK,BKT,0,0,812,0,7,116,2026-06-08,False
FUTURES STOCK,BBVA,0,135,144251,23,1323,39186,2026-06-08,False
FUTURES STOCK,IAG,10,10,610,2,6,40,2026-06-08,False
FUTURES STOCK,ACX,0,0,440,0,4,34,2026-06-08,False
FUTURES MINI IBEX 35,,2885,15179,392115,2530,3597,3685,2026-06-08,False
FUTURES STOCK,FER,0,0,1963,0,18,375,2026-06-08,False
FUTURES INDEX IBEX 35 DIVIDEND,,0,25,3400,4,31,3625,2026-06-08,False
FUTURES STOCK,AMS,2,7,1069,1,10,133,2026-06-08,False
OPTIONS STOCK,AMS,56,3165,34230,528,314,19043,2026-06-08,False
FUTURES STOCK,IDR,4,14,3133,2,29,338,2026-06-08,False
FUTURES STOCK TOTAL,,48,508,3762501,85,34518,1644699,2026-06-08,True
OPTIONS INDEX IBEX 35,,235,1267,146918,211,1348,70102,2026-06-08,False
FUTURES XROLLING STOCK,ITX,0,0,4000,0,37,0,2026-06-08,False
FUTURES STOCK,IBE,0,19,25995,3,238,7381,2026-06-08,False
FUTURES INDEX TOTAL,,10707,52058,1936785,8676,17768,59229,2026-06-08,True
FUTURES XROLLING STOCK,AMS,0,0,2000,0,18,0,2026-06-08,False
FUTURES IBEX 35,,7822,36854,1541270,6142,14140,51919,2026-06-08,False
FUTURES STOCK,ACS,0,5,6058,1,56,1183,2026-06-08,False
FUTURES STOCK,ANA,0,0,257,0,2,75,2026-06-08,False
FUTURES STOCK,CABK,0,0,1492,0,14,323,2026-06-08,False
OPTIONS STOCK,ALM,0,1,22,0,0,29,2026-06-08,False
FUTURES STOCK DIVIDEND,BBVD,0,0,700,0,6,750,2026-06-08,False
OPTIONS STOCK,ACX,22,142,7300,24,67,5441,2026-06-08,False
OPTIONS STOCK,ACS,6,27,6224,5,57,6770,2026-06-08,False
OPTIONS STOCK,A3M,0,150,566,25,5,404,2026-06-08,False
OPTIONS STOCK TOTAL,,163874,358057,6297291,59681,57775,6452335,2026-06-08,True
FUTURES STOCK DIVIDEND,TEFD,0,0,0,0,0,50,2026-06-08,False
FUTURES STOCK DIVIDEND,SAND,0,0,66472,0,610,25425,2026-06-08,False
FUTURES STOCK DIVIDEND,REPD,0,0,1550,0,14,1901,2026-06-08,False
FUTURES STOCK DIVIDEND,IBED,0,0,0,0,0,100,2026-06-08,False
FUTURES STOCK DIVIDEND,GASD,0,0,500,0,5,500,2026-06-08,False
FUTURES STOCK DIVIDEND TOTAL,,0,0,69222,0,635,28726,2026-06-08,True
FUTURES STOCK,ITX,20,31,10301,5,95,8649,2026-06-08,False
FUTURES STOCK,RED,0,0,194,0,2,64,2026-06-08,False
OPTIONS STOCK,AENA,4,359,5725,60,53,3211,2026-06-08,False
FUTURES STOCK,PUIG,0,0,312,0,3,230,2026-06-08,False
FUTURES STOCK,SLR,0,0,393,0,4,1,2026-06-08,False
FUTURES STOCK,SCYR,0,0,34,0,0,0,2026-06-08,False
FUTURES STOCK,SAN,0,152,3502015,25,32129,1536798,2026-06-08,False
FUTURES STOCK,SAB,0,0,920,0,8,508,2026-06-08,False
FUTURES STOCK,ROVI,0,0,129,0,1,2,2026-06-08,False
FUTURES STOCK,REP,10,25,24321,4,223,15386,2026-06-08,False
FUTURES STOCK,UNI,0,0,10,0,0,10,2026-06-08,False
FUTURES STOCK,TEF,0,100,21485,17,197,20210,2026-06-08,False
FUTURES STOCK,NTGY,0,0,5140,0,47,5014,2026-06-08,False
FUTURES STOCK,MTS,0,4,1463,1,13,204,2026-06-08,False
FUTURES STOCK,AENA,0,0,203,0,2,25,2026-06-08,False
FUTURES IBEX 35,,7624,44478,1548894,6354,14081,51991,2026-06-09,False
FUTURES STOCK,ITX,5,36,10306,5,94,8649,2026-06-09,False
FUTURES XROLLING STOCK,AMS,0,0,2000,0,18,0,2026-06-09,False
FUTURES INDEX TOTAL,,11046,63104,1947831,9015,17708,59325,2026-06-09,True
FUTURES STOCK,IBE,0,19,25995,3,236,7381,2026-06-09,False
FUTURES STOCK,AENA,0,0,203,0,2,25,2026-06-09,False
OPTIONS INDEX IBEX 35,,234,1501,147152,214,1338,70163,2026-06-09,False
FUTURES STOCK TOTAL,,11,519,3762512,75,34205,1644698,2026-06-09,True
FUTURES STOCK,IDR,6,20,3139,3,29,337,2026-06-09,False
OPTIONS INDEX IBEX 35 TOTAL,,234,1501,147152,214,1338,70163,2026-06-09,True
